Prod_Label_KMeans_k=2_sel,Biological Weight (BW),C_2,ChlorophyllA663,Chlorophyllb649,G_2,G_3,G_4,G_5,G_6,Leaf Area Index (LAI),Number of Pods (NP),Number of Seeds per Pod (NSP),Plant Height (PH),Protein Content (PCO),Protein Percentage (PPE),Relative Water Content in Leaves (RWCL),S_2,S_3,Seed Yield per Unit Area (SYUA),Sugars (Su),Weight of 300 Seeds (W3S)
0,70,True,1.5,3.3,False,True,False,False,False,0.08,128.9,1.8,51.0,0.84,39.6,0.66,False,False,2567.9,1.1,29.6
1,96,False,6.2,1.3,False,False,True,False,False,0.1,159.0,1.84,44.3,1.15,39.6,0.686,False,False,4679.9,0.546,47.5
0,65,True,7.1,1.3,False,False,True,False,False,0.08,157.0,2.05,47.7,0.15,33.5,0.625,True,False,3221.3,0.294,33.4
0,127,False,4.4,1.9,False,False,True,False,False,0.07,218.0,1.85,51.0,0.48,34.7,0.633,True,False,4211.5,0.323,32.8
0,33,True,4.7,7.8,False,False,False,False,True,0.02,124.3,2.08,50.0,0.33,34.8,0.713,False,True,2470.0,0.169,26.4
1,113,False,1.1,3.5,False,False,False,True,False,0.1,130.0,2.6,51.2,0.6,37.4,0.762,False,False,5740.7,0.43,36.4
0,93,False,8.0,1.2,True,False,False,False,False,0.08,88.0,2.08,50.3,0.56,36.5,0.667,True,False,4356.4,0.513,33.7
0,221,False,4.3,1.4,False,False,True,False,False,0.05,162.0,1.9,50.0,0.44,34.6,0.699,True,False,4254.6,0.345,34.5
1,233,False,2.3,3.0,False,True,False,False,False,0.09,164.0,2.08,55.2,0.7,38.5,0.434,False,True,7655.4,0.244,42.2
0,92,True,1.1,1.5,True,False,False,False,False,0.05,129.8,2.2,48.2,0.18,38.2,0.64,True,False,4001.0,0.675,33.6
1,59,True,4.1,1.1,False,False,False,False,True,0.06,135.0,2.2,53.2,0.4,33.6,0.669,True,False,4568.8,0.232,41.3
1,136,True,1.4,2.0,False,False,True,False,False,0.05,145.0,2.08,49.8,0.5,37.6,0.723,False,False,5112.9,0.447,36.4
0,123,False,1.2,3.3,False,False,True,False,False,0.1,163.0,1.8,42.3,0.7,39.5,0.488,False,True,4324.7,0.612,31.9
0,131,False,2.8,2.2,False,False,False,True,False,0.08,130.0,1.84,51.3,0.44,35.3,0.677,True,False,5454.4,0.534,33.6
0,149,True,5.5,1.1,False,False,False,True,False,0.08,148.0,1.65,50.5,1.8,31.7,0.662,False,False,3876.6,1.102,36.3
0,135,False,7.0,1.1,False,True,False,False,False,0.07,132.0,2.08,51.3,0.4,37.7,0.712,False,False,2578.4,0.754,31.6
0,120,True,2.4,3.4,True,False,False,False,False,0.08,150.0,1.8,50.5,0.84,32.5,0.716,False,False,3959.9,0.512,34.7
